"","tree","plot","site","species","date","time","week","lwc_bulk","rep","lwc_leaf"
"1887",2030,"Shedd","Chamise","live oak",NA,"MD",NA,NA,"1",0.74952380952381
"1888",2030,"Shedd","Chamise","live oak",NA,"PD",NA,NA,"1",NA
"1889",2030,"Shedd","Chamise","live oak",NA,"MD",NA,NA,"2",0.742134831460674
"1890",2030,"Shedd","Chamise","live oak",NA,"PD",NA,NA,"2",NA
"1891",2030,"Shedd","Chamise","live oak",NA,"MD",NA,NA,"3",0.729050279329609
"1892",2030,"Shedd","Chamise","live oak",NA,"PD",NA,NA,"3",NA
"1893",2030,"Shedd","Chamise","live oak",NA,"MD",NA,NA,NA,NA
"1894",2030,"Shedd","Chamise","live oak",NA,"PD",NA,NA,NA,0.826998150811588
"1895",2031,"Shedd","Chamise","blue oak",NA,"MD",14,NA,"1",NA
"1896",2031,"Shedd","Chamise","blue oak",2022-04-04,"PD",14,0.961170708955224,"1",NA
"1897",2031,"Shedd","Chamise","blue oak",NA,"MD",14,NA,"2",NA
"1898",2031,"Shedd","Chamise","blue oak",2022-04-04,"PD",14,0.961170708955224,"2",NA
"1899",2031,"Shedd","Chamise","blue oak",NA,"MD",14,NA,"3",NA
"1900",2031,"Shedd","Chamise","blue oak",2022-04-04,"PD",14,0.961170708955224,"3",NA
"1901",2031,"Shedd","Chamise","blue oak",NA,"MD",14,NA,"4",NA
"1902",2031,"Shedd","Chamise","blue oak",2022-04-04,"PD",14,0.961170708955224,"4",NA
"1903",2031,"Shedd","Chamise","blue oak",2022-04-13,"MD",15,0.96829333097157,"1",0.80900409276944
"1904",2031,"Shedd","Chamise","blue oak",NA,"PD",15,NA,"1",NA
"1905",2031,"Shedd","Chamise","blue oak",2022-04-13,"MD",15,0.96829333097157,"2",0.804227941176471
"1906",2031,"Shedd","Chamise","blue oak",NA,"PD",15,NA,"2",NA
"1907",2031,"Shedd","Chamise","blue oak",2022-04-13,"MD",15,0.96829333097157,"3",0.78150289017341
"1908",2031,"Shedd","Chamise","blue oak",NA,"PD",15,NA,"3",NA
"1909",2031,"Shedd","Chamise","blue oak",2022-04-27,"MD",17,0.908268733850129,"1",NA
"1910",2031,"Shedd","Chamise","blue oak",2022-04-27,"PD",17,0.967063129002745,"1",NA
"1911",2031,"Shedd","Chamise","blue oak",2022-04-27,"MD",17,0.908268733850129,"2",NA
"1912",2031,"Shedd","Chamise","blue oak",2022-04-27,"PD",17,0.967063129002745,"2",NA
"1913",2031,"Shedd","Chamise","blue oak",2022-04-27,"MD",17,0.908268733850129,"3",NA
"1914",2031,"Shedd","Chamise","blue oak",2022-04-27,"PD",17,0.967063129002745,"3",NA
"1915",2031,"Shedd","Chamise","blue oak",2022-05-09,"MD",19,0.808999280057595,"1",NA
"1916",2031,"Shedd","Chamise","blue oak",2022-05-09,"PD",19,0.711340206185567,"1",NA
"1917",2031,"Shedd","Chamise","blue oak",2022-05-09,"MD",19,0.808999280057595,"2",NA
"1918",2031,"Shedd","Chamise","blue oak",2022-05-09,"PD",19,0.711340206185567,"2",NA
"1919",2031,"Shedd","Chamise","blue oak",2022-05-09,"MD",19,0.808999280057595,"3",NA
"1920",2031,"Shedd","Chamise","blue oak",NA,"PD",19,NA,"3",NA
"1921",2031,"Shedd","Chamise","blue oak",2022-05-09,"MD",19,0.808999280057595,"4",NA
"1922",2031,"Shedd","Chamise","blue oak",NA,"PD",19,NA,"4",NA
"1923",2031,"Shedd","Chamise","blue oak",2022-05-23,"MD",21,0.701694915254237,"1",NA
"1924",2031,"Shedd","Chamise","blue oak",2022-05-23,"PD",21,0.842579611456038,"1",NA
"1925",2031,"Shedd","Chamise","blue oak",2022-05-23,"MD",21,0.701694915254237,"2",NA
"1926",2031,"Shedd","Chamise","blue oak",2022-05-23,"PD",21,0.842579611456038,"2",NA
"1927",2031,"Shedd","Chamise","blue oak",2022-07-19,"MD",29,0.590552325581396,"1",NA
"1928",2031,"Shedd","Chamise","blue oak",2022-07-19,"PD",29,0.631830985915493,"1",NA
"1929",2031,"Shedd","Chamise","blue oak",2022-07-19,"MD",29,0.590552325581396,"2",NA
"1930",2031,"Shedd","Chamise","blue oak",2022-07-19,"PD",29,0.631830985915493,"2",NA
"1931",2031,"Shedd","Chamise","blue oak",2022-07-19,"MD",29,0.590552325581396,"3",NA
"1932",2031,"Shedd","Chamise","blue oak",2022-07-19,"PD",29,0.631830985915493,"3",NA
"1933",2031,"Shedd","Chamise","blue oak",NA,"MD",29,NA,"4",NA
"1934",2031,"Shedd","Chamise","blue oak",2022-07-19,"PD",29,0.631830985915493,"4",NA
"1935",2031,"Shedd","Chamise","blue oak",NA,"MD",29,NA,"5",NA
"1936",2031,"Shedd","Chamise","blue oak",2022-07-19,"PD",29,0.631830985915493,"5",NA
"1937",2031,"Shedd","Chamise","blue oak",NA,"MD",NA,NA,"2",0.725030826140567
"1938",2031,"Shedd","Chamise","blue oak",NA,"PD",NA,NA,"2",NA
"1939",2031,"Shedd","Chamise","blue oak",NA,"MD",NA,NA,"3",0.75
"1940",2031,"Shedd","Chamise","blue oak",NA,"PD",NA,NA,"3",NA
"1941",2031,"Shedd","Chamise","blue oak",NA,"MD",NA,NA,NA,NA
"1942",2031,"Shedd","Chamise","blue oak",NA,"PD",NA,NA,NA,0.961170708955224
"1943",2032,NA,NA,"blue oak",2022-04-27,"MD",17,0.908268733850129,"1",NA
"1944",2032,NA,NA,"blue oak",2022-04-27,"PD",17,0.967063129002745,"1",NA
"1945",2032,NA,NA,"blue oak",2022-04-27,"MD",17,0.908268733850129,"2",NA
"1946",2032,NA,NA,"blue oak",2022-04-27,"PD",17,0.967063129002745,"2",NA
"1947",2032,NA,NA,"blue oak",2022-04-27,"MD",17,0.908268733850129,"3",NA
"1948",2032,NA,NA,"blue oak",2022-04-27,"PD",17,0.967063129002745,"3",NA
"1949",2084,NA,NA,"blue oak",2022-05-09,"MD",19,0.862469437652812,"1",NA
"1950",2084,NA,NA,"blue oak",NA,"PD",19,NA,"1",NA
"1951",2084,NA,NA,"blue oak",2022-05-09,"MD",19,0.862469437652812,"2",NA
"1952",2084,NA,NA,"blue oak",NA,"PD",19,NA,"2",NA
"1953",2084,NA,NA,"blue oak",2022-05-09,"MD",19,0.862469437652812,"3",NA
"1954",2084,NA,NA,"blue oak",NA,"PD",19,NA,"3",NA
"1955",2085,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"1",NA
"1956",2085,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"1",NA
"1957",2085,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"2",NA
"1958",2085,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"2",NA
"1959",2085,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"3",NA
"1960",2085,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"3",NA
"1961",2085,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"1",NA
"1962",2085,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.6518648258809,"1",NA
"1963",2085,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"2",NA
"1964",2085,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.6518648258809,"2",NA
"1965",2085,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"3",NA
"1966",2085,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.6518648258809,"3",NA
"1967",2085,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.01837270341207,"1",NA
"1968",2085,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"1",NA
"1969",2085,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.01837270341207,"2",NA
"1970",2085,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"2",NA
"1971",2085,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.01837270341207,"3",NA
"1972",2085,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"3",NA
"1973",2085,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.01837270341207,"4",NA
"1974",2085,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"4",NA
"1975",2085,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.02814814814815,"1",NA
"1976",2085,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,1.10227272727273,"1",NA
"1977",2085,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.02814814814815,"2",NA
"1978",2085,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,1.10227272727273,"2",NA
"1979",2085,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.02814814814815,"3",NA
"1980",2085,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,1.10227272727273,"3",NA
"1981",2085,"Low","PineNeedle","blue oak",NA,"MD",17,NA,"4",NA
"1982",2085,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,1.10227272727273,"4",NA
"1983",2085,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.89432199678879,"1",NA
"1984",2085,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"1",NA
"1985",2085,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.89432199678879,"2",NA
"1986",2085,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"2",NA
"1987",2085,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.89432199678879,"3",NA
"1988",2085,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"3",NA
"1989",2085,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.74587039390089,"1",NA
"1990",2085,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.923076923076923,"1",NA
"1991",2085,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.74587039390089,"2",NA
"1992",2085,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.923076923076923,"2",NA
"1993",2085,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.74587039390089,"3",NA
"1994",2085,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.923076923076923,"3",NA
"1995",2085,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.623753665689149,"1",NA
"1996",2085,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.700455235204856,"1",NA
"1997",2085,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.623753665689149,"2",NA
"1998",2085,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.700455235204856,"2",NA
"1999",2085,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.623753665689149,"3",NA
"2000",2085,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.700455235204856,"3",NA
"2001",2085,"Low","PineNeedle","blue oak",NA,"MD",29,NA,"4",NA
"2002",2085,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.700455235204856,"4",NA
"2003",2085,"Low","PineNeedle","blue oak",NA,"MD",29,NA,"5",NA
"2004",2085,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.700455235204856,"5",NA
"2005",2085,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"1",1.5265306122449
"2006",2085,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"1",NA
"2007",2085,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"2",1.48139534883721
"2008",2085,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"2",NA
"2009",2085,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"3",1.48780487804878
"2010",2085,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"3",NA
"2011",2085,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,NA,2.01837270341207
"2012",2085,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,NA,1.6518648258809
"2013",2086,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"1",NA
"2014",2086,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"1",NA
"2015",2086,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"2",NA
"2016",2086,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"2",NA
"2017",2086,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"3",NA
"2018",2086,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"3",NA
"2019",2086,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"4",NA
"2020",2086,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"4",NA
"2021",2086,"Low","PineNeedle","blue oak",2022-04-04,"MD",14,NA,"1",1.57241379310345
"2022",2086,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.8236641221374,"1",NA
"2023",2086,"Low","PineNeedle","blue oak",2022-04-04,"MD",14,NA,"2",1.70576923076923
"2024",2086,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.8236641221374,"2",NA
"2025",2086,"Low","PineNeedle","blue oak",2022-04-04,"MD",14,NA,"3",1.76315789473684
"2026",2086,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.8236641221374,"3",NA
"2027",2086,"Low","PineNeedle","blue oak",2022-04-04,"MD",14,NA,"4",1.68409090909091
"2028",2086,"Low","PineNeedle","blue oak",NA,"PD",14,NA,"4",NA
"2029",2086,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,1.25562130177515,"1",NA
"2030",2086,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"1",NA
"2031",2086,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,1.25562130177515,"2",NA
"2032",2086,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"2",NA
"2033",2086,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,1.25562130177515,"3",NA
"2034",2086,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"3",NA
"2035",2086,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.01717305151915,"1",NA
"2036",2086,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,1.16515426497278,"1",NA
"2037",2086,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.01717305151915,"2",NA
"2038",2086,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,1.16515426497278,"2",NA
"2039",2086,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.01717305151915,"3",NA
"2040",2086,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,1.16515426497278,"3",NA
"2041",2086,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.930685520205171,"1",NA
"2042",2086,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"1",NA
"2043",2086,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.930685520205171,"2",NA
"2044",2086,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"2",NA
"2045",2086,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.930685520205171,"3",NA
"2046",2086,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"3",NA
"2047",2086,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.724043715846995,"1",NA
"2048",2086,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.963220675944334,"1",NA
"2049",2086,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.724043715846995,"2",NA
"2050",2086,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.963220675944334,"2",NA
"2051",2086,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.724043715846995,"3",NA
"2052",2086,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.963220675944334,"3",NA
"2053",2086,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.709550561797753,"1",NA
"2054",2086,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.696325088339223,"1",NA
"2055",2086,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.709550561797753,"2",NA
"2056",2086,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.696325088339223,"2",NA
"2057",2086,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.709550561797753,"3",NA
"2058",2086,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.696325088339223,"3",NA
"2059",2086,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,NA,1.25562130177515
"2060",2086,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,NA,1.8236641221374
"2061",2087,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"1",NA
"2062",2087,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"1",NA
"2063",2087,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"2",NA
"2064",2087,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"2",NA
"2065",2087,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"1",NA
"2066",2087,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.81722054380665,"1",NA
"2067",2087,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"2",NA
"2068",2087,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.81722054380665,"2",NA
"2069",2087,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"3",NA
"2070",2087,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,1.81722054380665,"3",NA
"2071",2087,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,3.43986254295533,"1",NA
"2072",2087,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"1",NA
"2073",2087,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,3.43986254295533,"2",NA
"2074",2087,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"2",NA
"2075",2087,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,3.43986254295533,"3",NA
"2076",2087,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"3",NA
"2077",2087,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.04289940828402,"1",NA
"2078",2087,"Low","PineNeedle","blue oak",NA,"PD",17,NA,"1",NA
"2079",2087,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.04289940828402,"2",NA
"2080",2087,"Low","PineNeedle","blue oak",NA,"PD",17,NA,"2",NA
"2081",2087,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.04289940828402,"3",NA
"2082",2087,"Low","PineNeedle","blue oak",NA,"PD",17,NA,"3",NA
"2083",2087,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.942025611175786,"1",NA
"2084",2087,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"1",NA
"2085",2087,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.942025611175786,"2",NA
"2086",2087,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"2",NA
"2087",2087,"Low","PineNeedle","blue oak",NA,"MD",21,NA,"1",NA
"2088",2087,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.921966509939784,"1",NA
"2089",2087,"Low","PineNeedle","blue oak",NA,"MD",21,NA,"2",NA
"2090",2087,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.921966509939784,"2",NA
"2091",2087,"Low","PineNeedle","blue oak",NA,"MD",21,NA,"3",NA
"2092",2087,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.921966509939784,"3",NA
"2093",2087,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.619485294117647,"1",NA
"2094",2087,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.716279069767442,"1",NA
"2095",2087,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.619485294117647,"2",NA
"2096",2087,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.716279069767442,"2",NA
"2097",2087,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.619485294117647,"3",NA
"2098",2087,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.716279069767442,"3",NA
"2099",2087,"Low","PineNeedle","blue oak",NA,"MD",29,NA,"4",NA
"2100",2087,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.716279069767442,"4",NA
"2101",2087,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"1",1.34583333333333
"2102",2087,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"1",NA
"2103",2087,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"2",1.51351351351351
"2104",2087,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"2",NA
"2105",2087,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"3",1.32087912087912
"2106",2087,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"3",NA
"2107",2087,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,NA,3.43986254295533
"2108",2087,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,NA,1.81722054380665
"2109",2088,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"1",NA
"2110",2088,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"1",NA
"2111",2088,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"2",NA
"2112",2088,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"2",NA
"2113",2088,"Low","PineNeedle","blue oak",NA,"MD",11,NA,"3",NA
"2114",2088,"Low","PineNeedle","blue oak",2022-03-15,"PD",11,NA,"3",NA
"2115",2088,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"1",NA
"2116",2088,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,NA,"1",NA
"2117",2088,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"2",NA
"2118",2088,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,NA,"2",NA
"2119",2088,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"3",NA
"2120",2088,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,NA,"3",NA
"2121",2088,"Low","PineNeedle","blue oak",NA,"MD",14,NA,"4",NA
"2122",2088,"Low","PineNeedle","blue oak",2022-04-04,"PD",14,NA,"4",NA
"2123",2088,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.81303116147309,"1",NA
"2124",2088,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"1",NA
"2125",2088,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.81303116147309,"2",NA
"2126",2088,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"2",NA
"2127",2088,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.81303116147309,"3",NA
"2128",2088,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"3",NA
"2129",2088,"Low","PineNeedle","blue oak",2022-04-11,"MD",15,2.81303116147309,"4",NA
"2130",2088,"Low","PineNeedle","blue oak",NA,"PD",15,NA,"4",NA
"2131",2088,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.04200323101777,"1",NA
"2132",2088,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,NA,"1",NA
"2133",2088,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.04200323101777,"2",NA
"2134",2088,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,NA,"2",NA
"2135",2088,"Low","PineNeedle","blue oak",2022-04-27,"MD",17,1.04200323101777,"3",NA
"2136",2088,"Low","PineNeedle","blue oak",2022-04-27,"PD",17,NA,"3",NA
"2137",2088,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.930131792742372,"1",NA
"2138",2088,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"1",NA
"2139",2088,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.930131792742372,"2",NA
"2140",2088,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"2",NA
"2141",2088,"Low","PineNeedle","blue oak",2022-05-09,"MD",19,0.930131792742372,"3",NA
"2142",2088,"Low","PineNeedle","blue oak",NA,"PD",19,NA,"3",NA
"2143",2088,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.793931731984829,"1",NA
"2144",2088,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.896942242355606,"1",NA
"2145",2088,"Low","PineNeedle","blue oak",2022-05-23,"MD",21,0.793931731984829,"2",NA
"2146",2088,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.896942242355606,"2",NA
"2147",2088,"Low","PineNeedle","blue oak",NA,"MD",21,NA,"3",NA
"2148",2088,"Low","PineNeedle","blue oak",2022-05-23,"PD",21,0.896942242355606,"3",NA
"2149",2088,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.603846153846154,"1",NA
"2150",2088,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.706039076376554,"1",NA
"2151",2088,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.603846153846154,"2",NA
"2152",2088,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.706039076376554,"2",NA
"2153",2088,"Low","PineNeedle","blue oak",2022-07-19,"MD",29,0.603846153846154,"3",NA
"2154",2088,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.706039076376554,"3",NA
"2155",2088,"Low","PineNeedle","blue oak",NA,"MD",29,NA,"4",NA
"2156",2088,"Low","PineNeedle","blue oak",2022-07-19,"PD",29,0.706039076376554,"4",NA
"2157",2088,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"1",1.13454545454545
"2158",2088,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"1",NA
"2159",2088,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"2",1.05614035087719
"2160",2088,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"2",NA
"2161",2088,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,"3",1.22954545454545
"2162",2088,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,"3",NA
"2163",2088,"Low","PineNeedle","blue oak",NA,"MD",NA,NA,NA,2.81303116147309
"2164",2088,"Low","PineNeedle","blue oak",NA,"PD",NA,NA,NA,NA
"2165",2089,"Low","PineNeedle","live oak",2022-03-08,"MD",10,NA,"1",0.703472222222222
"2166",2089,"Low","PineNeedle","live oak",NA,"PD",10,NA,"1",NA
"2167",2089,"Low","PineNeedle","live oak",2022-03-08,"MD",10,NA,"2",0.582269503546099
"2168",2089,"Low","PineNeedle","live oak",NA,"PD",10,NA,"2",NA
"2169",2089,"Low","PineNeedle","live oak",2022-03-08,"MD",10,NA,"3",0.651851851851852
"2170",2089,"Low","PineNeedle","live oak",NA,"PD",10,NA,"3",NA
"2171",2089,"Low","PineNeedle","live oak",2022-03-08,"MD",10,NA,"4",0.653529411764706
"2172",2089,"Low","PineNeedle","live oak",NA,"PD",10,NA,"4",NA
"2173",2089,"Low","PineNeedle","live oak",2022-03-08,"MD",10,NA,"5",0.626190476190476
"2174",2089,"Low","PineNeedle","live oak",NA,"PD",10,NA,"5",NA
"2175",2089,"Low","PineNeedle","live oak",NA,"MD",11,NA,"1",NA
"2176",2089,"Low","PineNeedle","live oak",2022-03-15,"PD",11,0.633587786259542,"1",0.637837837837838
"2177",2089,"Low","PineNeedle","live oak",NA,"MD",11,NA,"2",NA
"2178",2089,"Low","PineNeedle","live oak",2022-03-15,"PD",11,0.633587786259542,"2",0.582888888888889
"2179",2089,"Low","PineNeedle","live oak",NA,"MD",11,NA,"3",NA
"2180",2089,"Low","PineNeedle","live oak",2022-03-15,"PD",11,0.633587786259542,"3",0.650769230769231
"2181",2089,"Low","PineNeedle","live oak",NA,"MD",11,NA,"4",NA
"2182",2089,"Low","PineNeedle","live oak",2022-03-15,"PD",11,0.633587786259542,"4",0.609375
"2183",2089,"Low","PineNeedle","live oak",NA,"MD",11,NA,"5",NA
"2184",2089,"Low","PineNeedle","live oak",2022-03-15,"PD",11,0.633587786259542,"5",0.685897435897436
"2185",2089,"Low","PineNeedle","live oak",NA,"MD",11,NA,"6",NA
"2186",2089,"Low","PineNeedle","live oak",2022-03-15,"PD",11,0.633587786259542,"6",0.648684210526316
"2187",2089,"Low","PineNeedle","live oak",NA,"MD",11,NA,"7",NA
